sentence1,sentence2,label,preds,truth
Women standing at a podium with a crowd and building in the background .,woman makes a speech,neutral,2,2
A dog runs along the ocean surf .,A cat is running in the waves .,contradiction,0,0
A young girl in a pretty pink and white blouse and shorts is participating in a soccer game with other children .,Kids are playing a soccer game .,entailment,1,1
A person is standing on top of a snow covered mountain .,A person stands on a beach in Hawaii,contradiction,0,0
A balding man wearing a brown jacket with his hands crossed and his head tilted down .,A man wearing a brown jacket with his hands crossed and his head tilted down .,entailment,1,1
A man and a woman hug on a grassy hillside overlooking the countryside in the distance .,The man and woman are at a skating rink .,contradiction,0,0
Two women are riding motorized bicycles through a street .,Women are riding motorized bikes .,entailment,1,1
A street scene of people on scooters .,There are multiple people present .,entailment,1,1
Older man with white hair and a red cap painting the golden gate bridge on the shore with the golden gate bridge in the distance .,A person with a cap,entailment,1,1
A man stands on the sidewalk near a lamp post as well as a pillar forming part of an edifice .,The man is on a ship .,contradiction,0,0
Man and a woman walking on the street,There are at least two people in the picture .,entailment,1,1
Two backpackers look at scenic mountains .,Two guys are carrying things on their back .,entailment,1,1
A black and white dog prepares to catch a Frisbee .,A black and white cat prepares to catch a Frisbee .,contradiction,0,0
"Two older men speak into microphones on a stage , while a projector screen displays a vintage photo of a young man behind them .",Two men are sitting handcuffed in a police station .,contradiction,0,0
A man in a black shirt sits next to an old woman in a pink shirt on a train .,A man is sitting on the train talking to a woman .,entailment,1,1
A race dog numbered six is midair .,A cat is numbered six,contradiction,0,0
"A woman walking a dog on a leash at the beach , trailing behind as a pug follows another unseen woman .",two dogs play off leash,contradiction,0,0
A woman wearing sunglasses holds two newspapers .,A woman wearing sunglasses holds two newspapers as she leaves the minimart and heads home .,neutral,2,2
"There is one person lying in a large , green field .",There is someone running through a forest .,contradiction,0,0
3 women and 2 men waiting by a wall in the park talking,The people were waiting by the wall .,entailment,1,1
An older woman on the computer,Woman learning to use her personal computer .,neutral,2,2
A man in a red hat and blue jacket in a protest is holding up a tablet that talks about God and judgement .,The man is holding something up .,entailment,1,1
Military troops are gathered together and some are using tongs to turn over a variety of food on grill racks over coals .,A boy is walking around,contradiction,0,0
A man and woman look like they are having their picture taken in front of a famous building in France .,A man and woman look like they are running .,contradiction,0,0
A man in a white shirt is sitting on a crate .,There is a white shirt .,entailment,1,1
A woman smiling while on a bicycle .,A woman is smiling on her bicycle as cars drive past her .,neutral,2,2
A man in a business suit crosses the street .,A man is walking to a job interview .,neutral,2,2
"Nine women in blue and purple dresses and one man wearing a purple shirt and black pants , clap while a man dressed in black dances .",There are people clapping .,entailment,1,1
A man and woman dance together .,A man and woman dance together to their favorite song .,neutral,2,2
Ski equipment sits alone on a snowy mountain,Some skis are sitting in the snow .,entailment,1,1
A woman in a green blouse and black skirt sitting on a bench in front of an elephant model .,The woman is wading into the water .,contradiction,0,0
A man wearing a suit with a name tag stands reading in front of a microphone as a screen behind him displays a presentation .,A man with a microphone is standing in front of a screen .,entailment,1,1
Man in while shirt and blue jeans holding hands while walking with a little girl in a blue dress and yellow hat .,A man and girl walking together,entailment,1,1
A group at an outdoor party includes a man wearing camouflage pants with neon orange boots and suspenders .,The group at the party is outside .,entailment,1,1
A little blond boy throwing a soapy sponge at his moms car .,A small boy throws a sponge at a car .,entailment,1,1
A senior is waiting at the window of a restaurant that serves sandwiches .,A man is looking to order a grilled cheese sandwich .,neutral,2,2
Three motor-cross bike racers in a competition .,Three people are racing bikes .,entailment,1,1
"Several people prepare their stalls that consist of fish , vegetables and fruits for the public eye .",two men sit in a truck,contradiction,0,0
"A man in a green , black , and white spandex sports uniform is riding a bike .",A guy is n't afraid to fall down and spoiled his bright uniform .,contradiction,0,0
A girl is throwing a football on the beach .,A girl is on the beach with friends .,neutral,2,2
There is a street with buildings and one man in black walking on the side of the road .,The buildings are corporate offices .,neutral,2,2
A small child in a coat looks out over the lake of a park in the fall .,A child is looking at the lake .,entailment,1,1
two people playing baseball one running and one throwing a ball .,Two guys playing cards .,contradiction,0,0
"This crib contains a baby , stuffed animals , a box of matches , a cordless drill , a paperback novel , and a blanket .",The baby 's older sibling is very mischevious .,neutral,2,2
A man plays mini-gold on the SportsCenter set while two others observe .,Two goldfish are riding bikes in a giant pile of mashed potatoes .,contradiction,0,0
Man in brown and red checkered button up shirt and blue jeans makes a male and female laugh .,A flight attendant is demonstrating airplane safety but no one is paying attention .,contradiction,0,0
Two young women are standing in the middle of a flower garden with their arms wide open .,Two women are having lunch in a cafeteria .,contradiction,0,0
young female in striped shirt holding baby boy with red striped outfit,Young woman holding baby boy .,entailment,1,1
A maintenance worker walking past a statue .,man driving his car past a statue,contradiction,0,0
A male bartender dressed in all black with his sleeves rolled up to elbow height making a drink in a martini glass .,A tall person in black,neutral,2,2
Children and adults swim in large pool with red staircase .,Children are trying to learn how to swim with their parents in a large pool with a red staircase .,neutral,2,2
A boy is posing next to his scooter .,A boy is next to a scooter .,entailment,1,1
Two black and white dogs looking at a black and white kitten who is sitting on top of a tank with hoses on it .,Some funny animals,neutral,2,2
A group of people are taking a fun train ride .,People ride the train .,entailment,1,1
An older man is walking in a large grassy area with a small plane in the background about to land .,The person is sipping hot chocolate inside a skating rink .,contradiction,0,0
"People mingling in the foreground and background , two of them are walking towards those in the background that are positioned nearby of a building that is overshadowed by a large number of trees , while the two in the foreground are tending to a horse drawn carriage .",Some Amish people are fixing their carriage while other people walk or stand nearby .,neutral,2,2
A female sings and plays into a microphone and a male in green striped shorts plays a hand drum,a woman plays the piano,contradiction,0,0
Two blond people are sitting in a park having a conversation .,Two brunettes are sitting in a park .,contradiction,0,0
Two kids standing beside a snowman .,Two children lie by a pool in summer .,contradiction,0,0
Children are playing a game outside .,Children are not a game,contradiction,0,0
"A caucasian woman in a blue top and black slacks looks off to the side of the camera with a drink in one hand and a amused look upon her face , while a man sits next to her , looking unamused , drink in one hand , straw in the other .",A man and woman are having drinks in a bar .,neutral,2,2
"A blond woman wearing a blue and pink floral tie-front bikini on a beach , readying to put a flagpole in the sand .",A person in a bikini,entailment,1,1
An elderly woman wearing sunglasses stands and looks at something .,Elderly woman peers at an object .,entailment,1,1
"Person with a black helmet and vest , with a white undershirt , riding on a motorcycle on the street .",A man drives his car to the fair .,contradiction,0,0
"A young girl with a white vest , pink sleeves and pink knit hat with flower is looking at the flower blossoms on a tree .",The girl is dressed up for a party .,neutral,2,2
"A young woman seated at a table on what appears to be a backyard deck holds a toddler , giving him a toy or bottle of some sort , while smiling into the camera .",The woman is changing the boy 's diaper .,contradiction,0,0
"Two Asian children , a boy and a girl , the girl looking squarely at the camera and the boy making a face .",the children are taking model pictures,neutral,2,2
A woman runs along a rocky shore .,A woman is being chased near the river .,neutral,2,2
A group of men are searching for something .,A group of men are using flashlights to find something .,neutral,2,2
A man is playing with a baby on a deck .,A man plays with his son .,neutral,2,2
A group of people plays a game on the floor of a living room while a TV plays in the background .,A group of people are sitting on the floor .,entailment,1,1
A man speaking to a woman with a stroller in a room with several dinners .,a man speaks to a woman,entailment,1,1
An old woman is haggling over goods at the local market .,woman giving away stuff on the road,contradiction,0,0
"A group of people , men , women and children gathered around a table stacked with merchandise .",People are sticking their hands out at the fire pit .,contradiction,0,0
The man with the bag is standing on the corner .,The man with the bag is standing on the corner waiting for his wife,neutral,2,2
A man and woman in a dark room with lights behind them holding drinks while a bright green light shines in their faces .,A man and woman are married,neutral,2,2
A person in shorts is holding a Frisbee while team member in red shirts and spectators look on .,there is a quiet nature scene with no people,contradiction,0,0
girl sitting in fire for a show,The girl is an employee of the circus .,neutral,2,2
Two Asian women talking and having drinks at a small round table .,Two ladies are sitting together at the table .,entailment,1,1
A man wearing black pants and jacket is on a blue scooter next to a crowd of people and a green tent .,The crowd is cheering for the man .,neutral,2,2
An older man looks over a younger man wielding an ax chopping wood in a fall setting .,Men are outdoors .,entailment,1,1
A group of people walk up a ramp on a cloudy day .,The people are walking up the ramp to a store .,neutral,2,2
A band of young musicians are playing an intimate concert to a small crowd in an outdoor courtyard .,the band is at home sleeping,contradiction,0,0
An older perhaps Asian man who is wearing a sleeveless shirt with quite a few people in the background .,A tall human wearing,neutral,2,2
Two backpackers look at scenic mountains .,Two guys are backpacking on Mars .,contradiction,0,0
Here we have a guy using a pressure washer on the sidewalk .,The man is pressure washing his house .,contradiction,0,0
Two girls are on a street sidewalk and one is sitting .,girls are on the sidewalk,entailment,1,1
Two men in yellow jackets and black pants have medals .,The men are very brave .,neutral,2,2
A crowd of people in colorful dresses .,All of the people in the photo are women .,neutral,2,2
"Two competitors in the last leg of a race , strong legs , long strides to the end .",Races can be long and tiring .,entailment,1,1
A man in a blue shirt and red hat is looking at a torch .,A naked man is sitting with his eyes closed .,contradiction,0,0
A girl jumping rope on a sidewalk near a parking garage .,The girl is jumping rope just for exercise .,neutral,2,2
Two women in bathing suit on large rocks at the ocean .,two women are outside,entailment,1,1
A woman in a brown shirt and a man in a hat cross the street .,A man and woman are late for their dinner reservation .,neutral,2,2
A white male with blond-hair is drinking beer .,A human drinking,entailment,1,1
"Three elephants , each carrying a group of people , walking through the water .",The elephants are part of a jungle tour .,neutral,2,2
A girl in a red top is holding slips of paper .,A girl is wearing a red top .,entailment,1,1
A large man dressed in black on a street corner by a red brick building .,A man is waiting for the boss on the street corner .,neutral,2,2
a woman holding a child in a purple shirt,the woman is asleep at home,contradiction,0,0
The room full of youths reacts emotionally as they spectate .,people geting emotional watching something .,entailment,1,1
Man standing on a tricycle riding in front of a crowd .,A man is on a bike .,entailment,1,1
Closeup of an elderly woman walking across a street with her male companion .,A man helps a woman cross the street .,neutral,2,2
Two kids are standing in the ocean hugging each other .,Two kids are outdoors .,entailment,1,1
A girl and a guy biking down a long strip of road with people jogging in the distance .,A woman jogs by herself on the beach .,contradiction,0,0
A crowd on a city street watches a man flipping in the air .,The man is doing tricks .,entailment,1,1
A woman wearing a brown jacket and brown pants is walking her two dogs along the beach as they follow another person .,A person walks two animals along the beach .,entailment,1,1
An elderly man is looking through his glasses while working with hot metal .,girl sleeps,contradiction,0,0
A man in a bicycle is passing through a house with blue doors .,A man is biking to work .,neutral,2,2
A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck .,A man selling vegetables from the back of a truck .,neutral,2,2
A young man with blond dreadlocks sits on a wall reading a newspaper as a woman and a young girl pass by .,The young man is reading the newspaper sports section with a mom and daughter walks to the movie theater .,neutral,2,2
A dancer in costumer performs on stage while a man watches .,the man is captivated,neutral,2,2
A boy wearing a yellow jersey is accepting the baton from a female wearing a yellow jersey in a relay race .,A boy accepting a baton in a race .,entailment,1,1
A child in shorts throws a snowball at a mountain .,The kid is playing outside,entailment,1,1
A person floating on a river near a metropolitan area .,A dog floating on a river near a metropolitan area .,contradiction,0,0
There are two shadowy men standing along side a stream that runs through a paved courtyard in front of some stairs .,Two men were outside a building .,entailment,1,1
"Man on bike , with bike clothing and helmet on , having trouble maneuvering through sand from beach .",The man is riding a bike in sand .,entailment,1,1
"Two men on a basketball court one in white and red the other in blue , the player in white is throwing the ball in while teammates look on .",The men are playing basketball .,entailment,1,1
A woman in a blue and black jacket looking at a sign by railroad tracks .,a woman is wearing clothes,entailment,1,1
A man in a white shirt is sitting on a crate .,The man is old .,neutral,2,2
A line of rollerbladers crouch down aerodynamically,A group of rollerbladers are performing a trick for the crowd .,neutral,2,2
A cyclist rides down a rocky mountain .,The mountain is on Mars .,contradiction,0,0
Two asian men in a wood shop .,There are two asian men in that wood shop .,entailment,1,1
View of a soccer ball being kicked into a goal net,A soccer ball is going into the net .,entailment,1,1
A cyclists rides up a hill amid cheering bystanders .,The cyclist is in a bicycle race .,neutral,2,2
A group of people prepare hot air balloons for takeoff .,A group of people are outside .,entailment,1,1
Elderly man painting a picture with a small paintbrush .,An elderly artist is painting his latest masterpiece .,neutral,2,2
A boy toddler play outside on a clothes rack full of tied dye shirts .,A toddler is enjoying the sunny weather .,neutral,2,2
Horses jumping a hurdle in a race .,Horses are jumping over a hurdle in the last race of the day .,neutral,2,2
An old man wearing a hat is working on a project .,An old man is jogging along the street .,contradiction,0,0
A volleyball player hitting a ball on the beach .,A volleyball player is hitting a ball .,entailment,1,1
A young girl jumps high with the help of her bungie harness device and a safety spotter .,"A child jumps high , assisted by a spotter and a harness .",entailment,1,1
Two women on the dance floor with other people dancing .,Two women are dancing on the dance floor .,entailment,1,1
Black dog with tan markings wearing a blue collar standing on green grass .,There is a dog standing in the park .,neutral,2,2
Female sitting in a chair in front of a hazy field .,A woman runs though a field .,contradiction,0,0
